,Title,Price,PID,Location,Bedroom,Bathroom,Toilet,Status,Date Added,Date Updated
8523,1 bedroom House for rent Old Ikoyi Ikoyi Lagos," 7,500,000/year ",2KPHK,Old Ikoyi Ikoyi Lagos,1,1,1,"Furnished ,Serviced",30 Apr 2024,01 May 2024
8524,5 bedroom House for rent Shangisha Kosofe/Ikosi Lagos," 6,500,000/year ",9LERC,Shangisha Kosofe Ikosi Lagos,5,6,6,,18 Apr 2024,01 May 2024
8525,4 bedroom House for rent Old Ikoyi Lagos," 16,000,000/year ",8KAQG,Old Ikoyi Lagos,4,5,5,Serviced,03 Apr 2024,01 May 2024
8526,4 bedroom House for rent Ologolo Lekki Lagos," 6,000,000/year ",1KADB,Ologolo Lekki Lagos,4,5,5,Newly Built,03 Apr 2024,01 May 2024
8527,3 bedroom House for rent Thomas estate Ajah Lagos," 2,000,000/year ",8LEYA,Thomas Estate Ajah Lagos,3,4,4,,21 Apr 2024,01 May 2024
8528,2 bedroom House for rent Orchid chevron Lekki Lagos," 3,000,000/year ",7KCQK,Orchid Chevron Lekki Lagos,2,3,3,,22 Apr 2024,01 May 2024
8529,5 bedroom House for rent chevron Lekki Lagos," 7,000,000/year ",4KVYG,Chevron Lekki Lagos,5,6,6,,26 Jan 2024,01 May 2024
8530,4 bedroom House for rent Banana Island Ikoyi Lagos," 25,000,000/year ",3JVCF,Banana Island Ikoyi Lagos,4,5,5,,16 Feb 2024,01 May 2024
8531,3 bedroom House for rent Parkview Estate Ikoyi Lagos," 8,000,000/year ",4KTVK,Parkview Estate Ikoyi Lagos,3,4,4,,18 Mar 2024,01 May 2024
8532,5 bedroom House for rent Ikota Lekki Lagos," 10,000,000/year ",5KXFG,Ikota Lekki Lagos,5,6,6,,08 Feb 2024,01 May 2024
8533,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 10,000,000/year ",7KTVS,Lekki Phase 1 Lekki Lagos,4,5,5,,22 Apr 2024,01 May 2024
8534,4 bedroom House for rent Agungi Lekki Lagos," 5,000,000/year ",6KBKF,Agungi Lekki Lagos,4,5,5,,02 Apr 2024,01 May 2024
8535,4 bedroom House for rent Oral Estate Lekki Lagos," 5,500,000/year ",5KWYF,Oral Estate Lekki Lagos,4,4,5,Newly Built,05 Feb 2024,01 May 2024
8536,"4 bedroom House for rent Victoria Crescent Iv,orchid Road chevron Lekki Lagos"," 4,000,000/year ",5JWGD,"Victoria Crescent Iv,orchid Road Chevron Lekki Lagos",4,5,5,,15 Mar 2024,01 May 2024
8537,5 bedroom House for rent Lekki Phase 1 Lekki Lagos," 9,000,000/year ",7KXEP,Lekki Phase 1 Lekki Lagos,5,6,6,,08 Feb 2024,01 May 2024
8538,4 bedroom House for rent Agungi Lekki Lagos," 6,500,000/year ",4KBKG,Agungi Lekki Lagos,4,5,5,,12 Apr 2024,01 May 2024
8539,Flat / Apartment for rent Lekki Phase 1 Lekki Lagos," 3,000,000/year ",1KHMB,Lekki Phase 1 Lekki Lagos,0,0,0,Serviced,10 Oct 2023,01 May 2024
8540,Flat / Apartment for rent Omole phase 2 Ojodu Lagos," 1,500,000/year ",7KARQ,Omole Phase 2 Ojodu Lagos,0,0,0,Newly Built,27 Aug 2023,01 May 2024
8541,2 bedroom House for rent Salem Ikate Lekki Lagos," 3,500,000/year ",7KVHY,Salem Ikate Lekki Lagos,2,3,3,,12 Apr 2024,01 May 2024
8542,2 bedroom House for rent Ikate Lekki Lagos," 5,000,000/year ",6JWGP,Ikate Lekki Lagos,2,3,3,Serviced,27 Feb 2024,01 May 2024
